Evidence_ID,Evidence_Rare,Evidence_Name,Evidence_Ex
E_1,1,낡은 마법서,"표지가 찢어진 고서. 내부에는 저주와 관련된 내용이 적혀 있다."
E_2,2,고양이 해골,어딘가에 버려져 있던 작은 고양이 해골.
E_3,2,불길한 목걸이,수상하게 생긴 문양이 조각된 목걸이.
E_4,3,검은색 깃털,마을에서 보기 드문 크고 검은 깃털.
E_5,3,고양이 발톱,"마녀들이 고양이를 사역한다는전설이 있었던 것 같기도 하다."
E_6,3,빗자루,"특이한 모양의 빗자루다.모양이 특이하긴 하지만 평범한 빗자루 같다"
E_7,2,뿌리째 뽑힌 약초 다발,"아무리 약초라 해도 이렇게 많이..? 아무래도 수상한 느낌이 든다"
E_8,1,저주받은 인형,엉망진창 꿰메져 있고 여기저기 못이 박혀있는 인형 불길한 기운이 느껴지는 것 같다
E_9,3,닭뼈,"어딘가에 버려져 있던 닭뼈 제물로 사용되었을 가능성이 있지만, 확실하진 않다."
E_10,2,수상한 종이,"종이에 글씨가 적혀있지만 뭐라고 적힌건지 해석은 힘들어보인다."
E_11,3,사람을 닮은 목각인형,"장난감 같은 목각인형이다 사람을 본떠서 묘하게 기분이 나쁘다.."
E_12,3,녹아 내린 양초,"불에 타고 녹아내린 양초다 뭔가 문양이 새겨져 있는 것 같다"
E_13,3,탄내가 배인 헝겊,"불태워진 듯한 천 조각. 정확히 무엇이었는지 확인하기 힘들다."
E_14,3,점술 카드,한창 마을에 유행했던 점술의 흔적인 것 같다
E_15,1,두개골 모양의 조형물,"사람의 두개골을 본떠 만든 조형물 불길한 기운이 느껴진다"
E_16,2,수상한 주머니,"사람의 손톱, 머리카락 등 신체의 일부가 들어있는 이상한 주머니다"
E_17,3,액체가 담긴 병,"먹을 수 있는것인지, 없는것인지 모를 액체가 담긴 병이다."
E_18,3,검은색 천,"보기드문 검은색의 천이다 자주 쓰이는 색은 아니다"
E_19,3,개구리 사체,"누군가 잡아다 죽인건지 그저 운이 없게 죽어있던 개구리인지 모르겠다"
E_20,2,덩굴로 엮인 반지,"자연적으로 자란 듯한 덩굴이 엮여 만들어진 반지. 사람 손으로 만든 것 같지 않다."
E_21,1,수상한 수정구슬,"사람의 눈을 본떠 만든 듯한 수정구슬 누군가 날 주시하는 것 같다"
